City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.01,91,100,3.58,NZ,1689956164
1,port-aux-francais,-49.35,70.2167,0.75,64,76,18.44,TF,1689956165
2,calabozo,8.9242,-67.4293,28.49,75,59,3.69,VE,1689956166
3,constitucion,-35.3333,-72.4167,13.09,96,100,5.3,CL,1689956167
4,howrah,22.5892,88.3103,29.0,94,40,2.06,IN,1689955955
5,flying fish cove,-10.4217,105.6791,23.82,83,100,6.69,CX,1689956172
6,sisimiut,66.9395,-53.6735,5.82,95,100,7.05,GL,1689956172
7,grytviken,-54.2811,-36.5092,0.9,98,100,4.28,GS,1689956172
8,fale old settlement,-9.3852,-171.2468,28.33,75,100,3.35,TK,1689956172
9,adamstown,-25.066,-130.1015,20.99,72,59,13.52,PN,1689956173
10,ujae,8.9322,165.7642,28.34,79,100,7.64,MH,1689956173
11,longyearbyen,78.2186,15.6401,7.91,81,75,6.69,SJ,1689956173
12,arraial do cabo,-22.9661,-42.0278,23.92,57,75,6.69,BR,1689956031
13,nuuk,64.1835,-51.7216,6.34,100,100,6.71,GL,1689955932
14,poyarkovo,49.6,128.6833,19.76,40,99,0.99,RU,1689956173
15,askoy,60.4092,5.226,16.12,54,75,3.09,NO,1689956173
16,trenggalek,-8.05,111.7167,20.78,94,7,1.02,ID,1689956174
17,yellowknife,62.456,-114.3525,23.29,60,100,3.58,CA,1689956122
18,kolonia town,6.964,158.206,27.7,83,97,6.47,FM,1689956174
19,proletariy,58.4342,31.7046,18.19,57,77,4.46,RU,1689956174
20,port mathurin,-19.6833,63.4167,23.59,66,1,7.93,MU,1689956174
21,bredasdorp,-34.5322,20.0403,10.15,60,21,2.08,ZA,1689956174
22,tongouson,5.0214,120.1328,28.14,78,82,8.18,PH,1689956174
23,okhotsk,59.3833,143.3,12.41,93,100,2.07,RU,1689956175
24,red bluff,40.1785,-122.2358,32.7,30,0,3.6,US,1689956175
25,san rafael,-34.6177,-68.3301,23.49,14,81,4.19,AR,1689955907
26,chonchi,-42.6128,-73.8092,9.56,90,99,3.69,CL,1689956175
27,udachny,66.4167,112.4,16.92,77,56,3.77,RU,1689956180
28,carnarvon,-24.8667,113.6333,16.13,32,88,9.51,AU,1689956180
29,harlingen,26.1906,-97.6961,34.47,68,0,5.14,US,1689956142
30,kolonia,50.9333,6.95,20.53,57,0,6.17,DE,1689956010
31,tayoltita,24.0833,-105.9333,29.89,43,34,1.58,MX,1689956181
32,ilulissat,69.2167,-51.1,5.01,100,75,3.09,GL,1689956181
33,jamestown,42.097,-79.2353,20.85,88,100,5.14,US,1689955769
34,port hueneme,34.1478,-119.1951,36.22,77,0,2.57,US,1689956181
35,nova sintra,14.8667,-24.7167,23.5,83,23,6.28,CV,1689956182
36,punta arenas,-53.15,-70.9167,-0.94,93,100,6.17,CL,1689956182
37,dame-marie,18.5667,-74.4167,30.13,66,39,1.69,HT,1689956182
38,kilindoni,-7.9139,39.6668,25.85,72,83,9.3,TZ,1689956182
39,blackmans bay,-43.0167,147.3167,7.07,89,48,3.01,AU,1689956182
40,buka,40.8108,69.1986,29.0,20,0,3.48,UZ,1689956183
41,hasaki,35.7333,140.8333,24.61,86,3,3.99,JP,1689956183
42,happy valley-goose bay,53.3168,-60.3315,26.17,50,75,3.09,CA,1689955970
43,hadibu,12.65,54.0333,26.05,76,100,9.39,YE,1689956183
44,pacific grove,36.6177,-121.9166,28.14,100,100,2.06,US,1689955447
45,sola,-13.8833,167.55,25.43,77,87,7.37,VU,1689956184
46,baki,-7.6128,110.7839,21.8,78,4,3.04,ID,1689956184
47,puerto natales,-51.7236,-72.4875,-1.33,96,100,3.42,CL,1689956060
48,qaqortoq,60.7167,-46.0333,6.76,94,99,1.75,GL,1689956184
49,keflavik,64.0049,-22.5624,14.95,82,75,8.75,IS,1689956184
50,wailua homesteads,22.0669,-159.378,26.44,90,75,6.69,US,1689956185
51,sao jose da coroa grande,-8.8978,-35.1478,26.42,58,5,6.51,BR,1689956185
52,kenora,49.8167,-94.4337,23.54,64,20,2.57,CA,1689956185
53,bethel,41.3712,-73.414,28.27,73,40,4.12,US,1689956185
54,anadyr,64.75,177.4833,13.28,94,75,2.0,RU,1689956185
55,iwanai,42.9744,140.5089,15.78,89,4,2.9,JP,1689956186
56,basoko,1.2391,23.616,28.28,66,69,0.73,CD,1689956186
57,kirensk,57.7853,108.1119,16.41,72,22,0.9,RU,1689956186
58,invercargill,-46.4,168.35,0.01,99,21,0.89,NZ,1689956186
59,west island,-12.1568,96.8225,24.99,83,40,7.72,CC,1689956187
60,albany,42.6001,-73.9662,26.14,74,64,1.78,US,1689956003
61,tolanaro,-25.0319,46.9987,18.03,77,100,3.86,MG,1689956187
62,aberdeen,57.1437,-2.0981,16.27,70,40,8.75,GB,1689955971
63,enewetak,11.3474,162.3373,28.25,80,50,7.13,MH,1689956187
64,pasuquin,18.3328,120.6177,27.41,85,2,1.81,PH,1689956187
65,vilyuysk,63.7553,121.6247,12.74,86,11,1.37,RU,1689956188
66,bilibino,68.0546,166.4372,14.77,73,99,0.47,RU,1689956188
67,saldanha,-33.0117,17.9442,11.69,56,29,2.35,ZA,1689956188
68,la ronge,55.1001,-105.2842,21.14,56,75,1.03,CA,1689956188
69,posse,-14.0931,-46.3694,24.47,46,88,6.46,BR,1689956012
70,umluj,25.0213,37.2685,32.38,59,41,3.33,SA,1689956188
71,caleta de carquin,-11.0925,-77.6267,21.28,74,64,4.71,PE,1689956188
72,ushuaia,-54.8,-68.3,-3.13,69,41,1.25,AR,1689955853
73,kodiak,57.79,-152.4072,10.73,87,0,2.57,US,1689956189
74,rolla,37.9514,-91.7713,22.81,80,40,2.57,US,1689956189
75,montecristo,8.2971,-74.4733,34.58,52,100,1.04,CO,1689956189
76,aykhal,66.0,111.5,15.24,86,37,3.77,RU,1689956189
77,key west,24.5557,-81.7826,33.0,68,40,4.63,US,1689956189
78,st. john's,47.5649,-52.7093,29.04,65,20,7.2,CA,1689956189
79,vorgashor,67.5833,63.95,21.58,70,70,1.8,RU,1689956190
80,tchintabaraden,15.8969,5.7985,32.75,42,100,6.78,NE,1689956190
81,iqaluit,63.7506,-68.5145,6.85,81,75,4.12,CA,1689955985
82,kifri,34.6959,44.9661,41.12,8,0,8.28,IQ,1689956190
83,papatowai,-46.5619,169.4708,5.14,73,2,5.53,NZ,1689956190
84,olonkinbyen,70.9221,-8.7187,5.13,79,100,2.14,SJ,1689956164
85,tangalle,6.024,80.7911,29.09,88,77,5.09,LK,1689956191
86,masina,-4.3836,15.3914,34.21,30,19,0.35,CD,1689956191
87,whitehorse,60.7161,-135.0538,17.83,71,75,1.54,CA,1689955467
88,carolina beach,34.0352,-77.8936,32.78,60,17,5.35,US,1689956191
89,castillos,-34.1667,-53.8333,22.23,68,48,5.3,UY,1689956025
90,college,64.8569,-147.8028,18.22,82,20,2.06,US,1689955968
91,shingu,33.7333,135.9833,23.17,91,0,1.72,JP,1689956192
92,dudinka,69.4058,86.1778,21.46,67,100,4.56,RU,1689956192
93,margaret river,-33.95,115.0667,12.09,73,1,2.33,AU,1689956192
